     5 Astraea        1997-08-20 0.9 329.00  -0.97  3.059  2.048   0.49 -99.999 -99.999   6.790 -99.999 -99.999 Shevchenko et al. (2002)    
     5 Astraea        1997-08-21 0.9 328.77  -0.99  3.059  2.047   0.33 -99.999 -99.999   6.750 -99.999 -99.999 Shevchenko et al. (2002)    
     5 Astraea        1997-08-22 0.9 328.55  -1.02  3.058  2.047   0.55 -99.999 -99.999   6.805 -99.999 -99.999 Shevchenko et al. (2002)    
     5 Astraea        1997-08-29 0.8 326.98  -1.17  3.056  2.056   3.17 -99.999 -99.999   7.065 -99.999 -99.999 Shevchenko et al. (2002)    
     5 Astraea        1997-09-21 0.8 322.73  -1.59  3.045  2.176  11.21 -99.999 -99.999   7.290 -99.999 -99.999 Shevchenko et al. (2002)    
     5 Astraea        1997-10-03 0.6 321.53  -1.76  3.038  2.286  14.39 -99.999 -99.999   7.395 -99.999 -99.999 Shevchenko et al. (2002)    
     5 Astraea        1997-10-09 0.8 321.24  -1.82  3.034  2.353  15.71 -99.999 -99.999   7.450 -99.999 -99.999 Shevchenko et al. (2002)    
    16 Psyche         1978-04-28 0.8 228.87   4.29  3.262  2.268   3.50 -99.999   6.810   6.090 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-04-29 0.8 228.67   4.30  3.261  2.265   3.10 -99.999 -99.999   6.000 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-04-30 0.8 228.47   4.31  3.260  2.262   2.80 -99.999   6.720   5.990 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-05-05 0.9 227.44   4.34  3.257  2.250   1.50 -99.999   6.570   5.860 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-05-06 0.8 227.23   4.34  3.256  2.249   1.40 -99.999   6.530   5.830 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-05-08 0.9 226.82   4.35  3.255  2.247   1.40 -99.999   6.580   5.860 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-05-11 0.8 226.21   4.36  3.253  2.247   2.00 -99.999   6.590   5.900 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-05-12 0.8 226.00   4.36  3.252  2.247   2.30 -99.999   6.650   5.920 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-05-13 0.8 225.80   4.36  3.251  2.248   2.60 -99.999   6.660   5.950 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-05-18 0.8 224.79   4.35  3.247  2.256   4.20 -99.999   6.820   6.090 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-05-27 0.8 223.13   4.30  3.241  2.287   7.20 -99.999   6.960   6.200 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-06-04 0.7 221.89   4.23  3.234  2.332   9.70 -99.999   7.060   6.300 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-06-05 0.7 221.75   4.22  3.234  2.338  10.00 -99.999   7.030   6.290 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-06-06 0.7 221.62   4.21  3.233  2.345  10.20 -99.999   7.050   6.310 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-06-14 0.7 220.72   4.10  3.226  2.408  12.40 -99.999   7.100   6.380 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-07-01 0.7 219.93   3.83  3.212  2.580  15.90 -99.999   7.180   6.450 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-07-02 0.7 219.44   3.81  3.211  2.591  16.10 -99.999   7.180   6.450 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-07-11 0.7 220.19   3.66  3.203  2.697  17.30 -99.999   7.240   6.520 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1978-07-12 0.7 220.24   3.64  3.202  2.710  17.40 -99.999   7.230   6.490 -99.999 -99.999 Lupishko et al. (1980)      
    16 Psyche         1979-06-15 0.9 317.62   2.11  2.776  2.046  17.00 -99.999   7.500   6.750 -99.999 -99.999 Lupishko et al. (1982b)     
    16 Psyche         1979-06-19 0.9 317.61   2.10  2.771  2.000  16.20   7.890   7.500   6.740 -99.999 -99.999 Lupishko et al. (1982b)     
